pair_id,direction,tile_a,tile_b,shift_y,shift_x,origin_dy,origin_dx,iq_corr,ci_corr,valid_fraction,median_misorientation_deg,p90_misorientation_deg,overlap_pixels,candidate_source,classical_score,pseudo_label,ml_probability,final_score,selected
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,2,1,65,1,0.6459737151917875,0.46503714432740767,1.0,53.39369129943201,54.79669643879775,2786,iq_phase_corr,0.4012884458478307,0,0.007643878076138648,0.14541947679623085,False
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,-1,-1,-1,159,0.5550056825004743,0.3510309658056144,1.0,0.28608934987418344,0.6431822597085943,3042,zero,0.7046113812867626,1,0.9842821922353084,0.8863974084033174,False
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,-1,0,-1,160,0.5819164072446967,0.35532682921002245,1.0,0.3006560055977422,48.06678900241244,3120,zero,0.729060170337138,1,0.9024089145651681,0.8417368540853576,False
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,-1,1,-1,161,0.48768668849179336,0.32093573880360454,1.0,0.32090183055509935,59.51148876000089,3042,zero,0.6750690996018606,1,0.6917610926294425,0.6859188950697889,False
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,0,-1,0,159,0.7032249533483329,0.4317795047803054,1.0,0.20867085447263808,21.173339397491898,3081,zero,0.7868843453299457,1,0.987633692374643,0.917371420908999,False
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,0,0,0,160,0.9999999999999999,1.0,1.0,0.0,0.0,3160,zero,0.9999999999999999,1,0.999377867248343,0.9995956137114228,True
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,0,1,0,161,0.7032249533483329,0.4317795047803054,1.0,0.24318438201072806,50.44033515685221,3081,zero,0.7854164237534056,1,0.9501018695015829,0.8924619634897208,False
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,1,-1,1,159,0.48768668849179336,0.32093573880360454,1.0,0.2562284105099678,26.376540544173345,3042,zero,0.677798327411198,1,0.9200354914401002,0.8352524840299845,False
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,1,0,1,160,0.5819164072446967,0.35532682921002245,1.0,0.23415203610044782,4.146595962449917,3120,zero,0.7318740813866059,1,0.9876577055524499,0.8981334370944045,False
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,1,1,1,161,0.5550056825004743,0.3510309658056144,1.0,0.30527799476723966,48.91843728984801,3042,zero,0.7038023398902398,1,0.8568136166908584,0.8032596698106419,False
vertical_r0_c1__r1_c1,vertical,tile_r0_c1_clean.ang,tile_r1_c1_clean.ang,-1,-1,62,-1,0.4126746634317042,0.2860424167199828,1.0,0.3091932309845721,59.88367182956963,2985,zero,0.6440733629090638,0,0.5704145104764169,0.5961951088278433,False
vertical_r0_c1__r1_c1,vertical,tile_r0_c1_clean.ang,tile_r1_c1_clean.ang,-1,0,62,0,0.454248525377809,0.27909820936393726,1.0,0.23033989054594273,48.83280944093935,3000,zero,0.6759180389435497,1,0.795857373898599,0.7538786066643318,False
