pair_id,direction,tile_a,tile_b,shift_y,shift_x,origin_dy,origin_dx,iq_corr,ci_corr,valid_fraction,median_misorientation_deg,p90_misorientation_deg,overlap_pixels,candidate_source,classical_score,pseudo_label,ml_probability,final_score,selected,accepted,self_supervised_split
vertical_r2_c4__r3_c4,vertical,tile_r2_c4_clean.ang,tile_r3_c4_clean.ang,1,-1,64,-1,0.7629680885840373,0.44095280134717113,1.0,0.34860322845881014,50.42344299930171,2985,zero,0.7882578782537698,1,0.9999327778079927,0.9258465629640147,False,False,train
vertical_r2_c4__r3_c4,vertical,tile_r2_c4_clean.ang,tile_r3_c4_clean.ang,1,0,64,0,0.8362188111060147,0.5103563510006173,1.0,0.2624598994392925,52.241038274486534,3000,zero,0.8429337308360856,1,0.9999970939557966,0.9450249168638978,False,False,train
vertical_r2_c4__r3_c4,vertical,tile_r2_c4_clean.ang,tile_r3_c4_clean.ang,1,1,64,1,0.7710692617726292,0.4800923067894711,1.0,0.26062183860003113,39.28213242878166,2985,zero,0.8006696106278285,1,0.9999776993914959,0.9302198683242123,False,False,train
vertical_r2_c5__r3_c5,vertical,tile_r2_c5_clean.ang,tile_r3_c5_clean.ang,-1,-1,62,-1,0.7398816046056538,0.6472914758460638,0.9947712418300654,0.23931061181845587,39.56326823059285,1522,zero,0.8149531766151064,1,0.9999736457990469,0.9352164815846677,False,False,validation
vertical_r2_c5__r3_c5,vertical,tile_r2_c5_clean.ang,tile_r3_c5_clean.ang,-1,0,62,0,0.8483098910960204,0.6881951138289777,1.0,0.25952800997172226,0.5418722373611845,1530,zero,0.8739655762298695,1,0.9999999248153474,0.9558879028104301,False,False,validation
vertical_r2_c5__r3_c5,vertical,tile_r2_c5_clean.ang,tile_r3_c5_clean.ang,-1,1,62,1,0.7304162095828431,0.5942570245176374,1.0,0.2911956044470401,42.55912090016586,1515,zero,0.8022734925474149,1,0.9998742202863328,0.9307139655777115,False,False,validation
vertical_r2_c5__r3_c5,vertical,tile_r2_c5_clean.ang,tile_r3_c5_clean.ang,0,-1,63,-1,0.823342740362883,0.6813809580800333,0.9950980392156863,0.2659611972724786,0.6914166647560982,1624,zero,0.8631972976407014,1,0.999999924244946,0.9521190049334604,False,False,validation
vertical_r2_c5__r3_c5,vertical,tile_r2_c5_clean.ang,tile_r3_c5_clean.ang,0,0,63,0,1.0000000000000002,1.0,1.0,0.0,1.2074182697257333e-06,1632,zero,1.0,1,0.9999999998652724,0.999999999912427,True,True,validation
vertical_r2_c5__r3_c5,vertical,tile_r2_c5_clean.ang,tile_r3_c5_clean.ang,0,1,63,1,0.8230482833199821,0.6805901486591932,1.0,0.2994018683630739,18.621933615519414,1616,zero,0.8622986737265341,1,0.999999387651017,0.951804137777448,False,False,validation
vertical_r2_c5__r3_c5,vertical,tile_r2_c5_clean.ang,tile_r3_c5_clean.ang,1,-1,64,-1,0.7307639852236394,0.5952502851587809,0.9954248366013072,0.24366062610584432,5.078846240055475,1523,zero,0.8038692162134292,1,0.9999952441275403,0.9313511343576013,False,False,validation
vertical_r2_c5__r3_c5,vertical,tile_r2_c5_clean.ang,tile_r3_c5_clean.ang,1,0,64,0,0.8483098910960204,0.6881951138289777,1.0,0.27617579582157553,23.436883438635938,1530,zero,0.8732612176795274,1,0.9999996771300167,0.9556412163223456,False,False,validation
vertical_r2_c5__r3_c5,vertical,tile_r2_c5_clean.ang,tile_r3_c5_clean.ang,1,1,64,1,0.7394993014545178,0.646547259309369,1.0,0.27612023750292314,0.8984018428603,1515,zero,0.8139326813317803,1,0.9999934251677494,0.9348721648251602,False,False,validation
horizontal_r3_c0__r3_c1,horizontal,tile_r3_c0_clean.ang,tile_r3_c1_clean.ang,-1,-1,-1,159,0.7096158177834581,0.33343965591654723,1.0,0.3268855845363917,41.769548135599216,3042,zero,0.7543684804716244,1,0.9997437753151082,0.9138624221198888,False,False,train
horizontal_r3_c0__r3_c1,horizontal,tile_r3_c0_clean.ang,tile_r3_c1_clean.ang,-1,0,-1,160,0.7975461533076973,0.4274362407639084,1.0,0.3097632739195165,1.0035700000265748,3120,zero,0.8149634649455268,1,0.9999995018096131,0.9352368889071829,False,False,train
horizontal_r3_c0__r3_c1,horizontal,tile_r3_c0_clean.ang,tile_r3_c1_clean.ang,-1,1,-1,161,0.726613496295441,0.3753998487494084,1.0,0.3536379455352483,54.74857144551907,3042,zero,0.7654900177183633,1,0.9996736554005649,0.9177093822117943,False,False,train
horizontal_r3_c0__r3_c1,horizontal,tile_r3_c0_clean.ang,tile_r3_c1_clean.ang,0,-1,0,159,0.7803889379324768,0.3747580443982336,1.0,0.2912413878261482,32.46719495291908,3081,zero,0.8018371690325292,1,0.9999935661830752,0.930638827180384,False,False,train
horizontal_r3_c0__r3_c1,horizontal,tile_r3_c0_clean.ang,tile_r3_c1_clean.ang,0,0,0,160,0.9999999999999999,1.0,1.0,0.0,1.2074182697257333e-06,3160,zero,0.9999999999999999,1,0.9999999998652724,0.9999999999124269,True,True,train
horizontal_r3_c0__r3_c1,horizontal,tile_r3_c0_clean.ang,tile_r3_c1_clean.ang,0,1,0,161,0.7803889379324768,0.3747580443982336,1.0,0.2952177281655639,1.017651886093281,3081,zero,0.8016694651513874,1,0.9999990987349285,0.9305837269806891,False,False,train
horizontal_r3_c0__r3_c1,horizontal,tile_r3_c0_clean.ang,tile_r3_c1_clean.ang,1,-1,1,159,0.726613496295441,0.3753998487494084,1.0,0.3335374532923129,18.714842917292987,3042,zero,0.7663324453133632,1,0.99996678184762,0.91819476406063,False,False,train
horizontal_r3_c0__r3_c1,horizontal,tile_r3_c0_clean.ang,tile_r3_c1_clean.ang,1,0,1,160,0.7975461533076973,0.4274362407639084,1.0,0.31656735644991646,32.47093904241839,3120,zero,0.8146772140215602,1,0.9999963875295954,0.9351346768017832,False,False,train
horizontal_r3_c0__r3_c1,horizontal,tile_r3_c0_clean.ang,tile_r3_c1_clean.ang,1,1,1,161,0.7096158177834581,0.33343965591654723,1.0,0.33224696718972163,32.15518512221493,3042,zero,0.7541433865495463,1,0.9998587038610725,0.9138583428020383,False,False,train
vertical_r3_c0__r4_c0,vertical,tile_r3_c0_clean.ang,tile_r4_c0_clean.ang,-1,-1,62,-1,0.7924804928208985,0.317344064880806,1.0,0.30168239194200186,3.67623524051789,2985,zero,0.7820169402902812,1,0.9999988580835532,0.923705186855908,False,False,train
vertical_r3_c0__r4_c0,vertical,tile_r3_c0_clean.ang,tile_r4_c0_clean.ang,-1,0,62,0,0.8603171173207862,0.3920539127050805,1.0,0.261355801297958,0.5675000246644227,3000,zero,0.8336695207577007,1,0.9999999530923755,0.9417843017752394,False,False,train
vertical_r3_c0__r4_c0,vertical,tile_r3_c0_clean.ang,tile_r4_c0_clean.ang,-1,1,62,1,0.7742707206879974,0.31974012674099966,1.0,0.341365192852896,52.99677231208708,2985,zero,0.7743351971012936,1,0.9999488736501284,0.9209840868580361,False,False,train
vertical_r3_c0__r4_c0,vertical,tile_r3_c0_clean.ang,tile_r4_c0_clean.ang,0,-1,63,-1,0.8098800736584743,0.33203483855716487,1.0,0.2569083426375575,0.6079979117231966,3184,zero,0.807202069034453,1,0.9999997139802955,0.9325205382492506,False,False,train
