pair_id,direction,tile_a,tile_b,shift_y,shift_x,origin_dy,origin_dx,iq_corr,ci_corr,valid_fraction,median_misorientation_deg,p90_misorientation_deg,overlap_pixels,candidate_source,classical_score,pseudo_label,ml_probability,final_score,selected
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,2,0,64,0,0.9999999999999998,1.0,0.5,49.7027530591683,54.80932091841356,3000,iq_phase_corr,0.5457012358659105,0,0.5457012358659105,0.5457012358659105,True
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,3,-1,65,-1,0.7784952096714501,0.5477304946276169,0.5,52.79406814820709,54.95649344296827,2793,iq_phase_corr,0.370109379563905,0,0.370109379563905,0.370109379563905,False
vertical_r0_c0__r1_c0,vertical,tile_r0_c0_clean.ang,tile_r1_c0_clean.ang,3,1,65,1,0.7491183133087084,0.5259359789544233,0.5,47.2057375428097,54.73308580290625,2793,iq_phase_corr,0.35703992478572566,0,0.35703992478572566,0.35703992478572566,False
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,-1,0,-1,319,0.5916205929469057,0.3688706525744227,0.5,0.20684529012234787,0.6682076122413562,3159,zero,0.6634643123360393,0,0.6634643123360393,0.6634643123360393,False
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,-1,2,-1,321,0.563457147820341,0.3484033590401176,0.5,0.20468604864948764,0.4573712436667121,3081,iq_phase_corr,0.6206290805542006,0,0.6206290805542006,0.6206290805542006,False
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,0,-1,0,318,0.7002516267338946,0.4276413399696397,0.5,0.24699045051773533,12.216639495796674,3160,zero,0.7085935432241882,0,0.7085935432241882,0.7085935432241882,False
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,0,1,0,320,0.9999999999999999,1.0,0.5,0.0,1.2074182697257505e-07,3160,zero,0.9099999999999998,0,0.9099999999999998,0.9099999999999998,True
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,1,0,1,319,0.562538433709548,0.3496192249251757,0.5,0.3082344903081343,10.350189558924425,3159,zero,0.6461025608528347,0,0.6461025608528347,0.6461025608528347,False
horizontal_r0_c1__r0_c2,horizontal,tile_r0_c1_clean.ang,tile_r0_c2_clean.ang,1,2,1,321,0.5927150078855022,0.3679836365693782,0.5,0.26091999695493373,0.4829116038261735,3081,iq_phase_corr,0.6314166951519116,0,0.6314166951519116,0.6314166951519116,False
vertical_r0_c1__r1_c1,vertical,tile_r0_c1_clean.ang,tile_r1_c1_clean.ang,-1,-1,61,-1,0.40069095044342423,0.20043402182244205,0.5,0.33941787343740026,59.85659476402493,3192,zero,0.5507680080729088,0,0.5507680080729088,0.5507680080729088,False
vertical_r0_c1__r1_c1,vertical,tile_r0_c1_clean.ang,tile_r1_c1_clean.ang,-1,1,61,1,0.40442173593744224,0.21195187336999952,0.5,0.35834057426193966,59.83150087476032,3192,zero,0.5530089197226717,0,0.5530089197226717,0.5530089197226717,False
vertical_r0_c1__r1_c1,vertical,tile_r0_c1_clean.ang,tile_r1_c1_clean.ang,0,0,62,0,0.47565670978944086,0.2860433902406566,0.5,0.3159450482511206,44.81790361405147,3400,zero,0.6208331518936481,0,0.6208331518936481,0.6208331518936481,False
vertical_r0_c1__r1_c1,vertical,tile_r0_c1_clean.ang,tile_r1_c1_clean.ang,1,-1,63,-1,0.5678790518653933,0.3410616837854506,0.5,0.2542093708700623,0.45561085042572214,3192,zero,0.6339701057696193,0,0.6339701057696193,0.6339701057696193,False
vertical_r0_c1__r1_c1,vertical,tile_r0_c1_clean.ang,tile_r1_c1_clean.ang,1,1,63,1,0.5411800492128508,0.3135890033280981,0.5,0.2744432977142547,4.841975264404352,3192,zero,0.6196480891627526,0,0.6196480891627526,0.6196480891627526,False
vertical_r0_c1__r1_c1,vertical,tile_r0_c1_clean.ang,tile_r1_c1_clean.ang,2,0,64,0,1.0000000000000002,1.0,0.5,0.0,1.2074182697257333e-06,3000,iq_phase_corr,0.8949999999999999,0,0.8949999999999999,0.8949999999999999,True
vertical_r0_c1__r1_c1,vertical,tile_r0_c1_clean.ang,tile_r1_c1_clean.ang,3,-1,65,-1,0.5180963551284234,0.2992279101276645,0.5,0.2891718586392272,59.76591670356224,2793,iq_phase_corr,0.5787925611900286,0,0.5787925611900286,0.5787925611900286,False
vertical_r0_c1__r1_c1,vertical,tile_r0_c1_clean.ang,tile_r1_c1_clean.ang,3,1,65,1,0.5534455933718583,0.34254111397351034,0.5,0.2151087644131856,18.1642904199173,2793,iq_phase_corr,0.6008015142940881,0,0.6008015142940881,0.6008015142940881,False
horizontal_r0_c2__r0_c3,horizontal,tile_r0_c2_clean.ang,tile_r0_c3_clean.ang,-1,0,-1,319,0.7279353373434309,0.6661423061164535,0.5,0.23557257132130516,5.661043115127227,3159,zero,0.7545426780590995,0,0.7545426780590995,0.7545426780590995,False
horizontal_r0_c2__r0_c3,horizontal,tile_r0_c2_clean.ang,tile_r0_c3_clean.ang,-1,2,-1,321,0.68899501035581,0.6261592884536983,0.5,0.24668901933438872,59.728487284836525,3081,iq_phase_corr,0.7044442066887647,0,0.7044442066887647,0.7044442066887647,False
horizontal_r0_c2__r0_c3,horizontal,tile_r0_c2_clean.ang,tile_r0_c3_clean.ang,0,-1,0,318,0.7263835933007454,0.6245612120736499,0.5,0.15661846695425696,0.4616612173173705,3160,zero,0.7511330183972786,0,0.7511330183972786,0.7511330183972786,False
horizontal_r0_c2__r0_c3,horizontal,tile_r0_c2_clean.ang,tile_r0_c3_clean.ang,0,1,0,320,1.0,1.0,0.5,0.0,0.0,3160,zero,0.9099999999999999,0,0.9099999999999999,0.9099999999999999,True
horizontal_r0_c2__r0_c3,horizontal,tile_r0_c2_clean.ang,tile_r0_c3_clean.ang,1,0,1,319,0.6869219564814905,0.6288226609857064,0.5,0.2441057639760538,0.8013078018465413,3159,zero,0.734227746993923,0,0.734227746993923,0.734227746993923,False
